계약일자,발주기관,계약방법,목적물,계약명,계약금액,계약상대자
2026-07-14,제물포중학교,1인수의,용역,"학교급식시설(후드, 바닥) 청소비 지출",1500000,주식회사 아톰
2026-04-28,인천새봄초등학교,1인수의,용역,2026학년도 상반기 급식실 후드 및 식당바닥 청소 실시,1500000,주식회사 에어솔환경 경인지점
2026-05-19,인천고잔고등학교,1인수의,용역,냉난방기 필터 청소 실시,1496000,주식회사 크린웰
2026-06-16,신송고등학교,1인수의,용역,운동장 배수로 청소 대금 지급,1491500,(주)진영공영
2026-05-11,강화고등학교,1인수의,용역,기숙사 냉난방기 그릴 및 필터 청소,1485200,두영
2026-04-29,부평서중학교,1인수의,용역,2026학년도 선풍기 청소 세척 비용 지급,1478400,블루윈드
2026-06-19,인천부개서초등학교,1인수의,용역,2026학년도 정화조 청소 실시,1474400,인천환경
2026-07-23,인천남동초등학교,1인수의,용역,2026학년도 정화조 내부청소비 지급,1467160,남해환경(주)
2026-06-05,구월중학교,1인수의,용역,정화조 청소비,1467000,푸른환경
2026-05-04,인천창영초등학교,1인수의,용역,2026년 정화조 청소 실시,1464000,동구정화조
2026-07-02,인천구월초등학교,1인수의,용역,2026년 정화조 청소비,1463000,주식회사 현대환경
2026-04-07,청천중학교,1인수의,용역,교내 선풍기 청소,1456000,에이치 클린
2026-06-15,인천석암초등학교,1인수의,용역,2026년 정화조 청소 실시비 지급,1455120,주식회사 남부건설환경
2026-04-13,인천은지초등학교,1인수의,용역,선풍기 및 화장실환풍기 청소 실시,1452000,(주)크린웰
2026-07-02,계산공업고등학교,1인수의,용역,정화조 청소 실시,1442200,황금환경 주식회사
2026-05-29,인천용마초등학교,1인수의,용역,2026학년도 냉난방기 필터 청소 용역비 지급,1435500,삼성시스템.E.N.G
2026-05-15,인천계산초등학교,1인수의,용역,냉난방기 필터 및 선풍기 분해 청소 실시,1435500,창성크린
2026-06-16,인천석남서초등학교,1인수의,용역,정화조 청소,1431200,주식회사 미래정화조
2026-07-15,인천이음고등학교,1인수의,용역,2026학년도 상반기 급식실 후드 청소 비용 지급,1430000,주식회사 아톰
2026-04-22,관교여자중학교,1인수의,용역,학교장터-교실 및 특별실 선풍기 청소 실시 (2026.04.25),1425600,주식회사 서광에스케이
2026-04-14,인천동암초등학교,1인수의,용역,교실 선풍기 청소 작업 실시,1419600,블루윈드
2026-04-22,부평고등학교,1인수의,용역,교내 선풍기 청소 용역비 지급,1416800,와우홈크리닝
2026-06-02,인천창영초등학교,1인수의,용역,2026 유치원 다함께 안심환경 조성 공모 사업 유치원 놀이터 이끼제거 및 청소비 지급,1413500,클린피크
2026-03-13,인천예일중학교,1인수의,용역,청소원 휴게실 환경개선(장판 교체 및 도배),1410000,나래씨엔아이
2026-04-24,인천남고등학교,1인수의,용역,선풍기 청소 실시,1409100,아이클린 경인점
2026-04-23,인천남고등학교,1인수의,용역,선풍기 청소 실시,1409100,아이클린청소팀
2026-04-21,연성중학교,1인수의,용역,교내 천장형 선풍기 청소 실시,1405800,주식회사 크린웰
2026-07-08,인천심곡초등학교,1인수의,용역,2026학년도 여름방학중 급식시설 청소(용역)비,1400000,인천우진환경
2026-05-06,인천아라중학교,1인수의,용역,2026학년도 학생식당내 바닥기계청소 용역비 지급,1400000,(주)제일비엠에스
2026-04-17,만성중학교,1인수의,용역,"교내 천장형 선풍기 분해, 청소 실시",1393700,세종
2026-05-29,강화여자고등학교,1인수의,용역,미세먼지 저감을 위한 기숙사 에어컨 필터 청소 대금 지급,1386000,에이치클린
2026-05-27,인천신선초등학교,1인수의,용역,교내 선풍기 청소 실시,1386000,세종
2026-05-07,신현여자중학교,1인수의,용역,교내 교실 선풍기 청소 실시,1378300,아이클린 경인점
2026-04-22,논곡중학교,1인수의,용역,정화조 청소 실시,1359000,남해환경(주)
2026-03-28,동인천중학교,1인수의,용역,정화조 청소비(교사동 및 강당동),1359000,남해환경
2026-03-17,만수북중학교,1인수의,용역,정화조 청소 실시,1359000,주은환경주식회사
2026-04-17,인천불로초등학교,1인수의,용역,여름철 대비 각 실 선풍기 청소용역 실시,1355200,주식회사 춘풍
2026-04-21,인천이음초등학교,1인수의,용역,[카드] 2026학년도 초등돌봄교실 청소기 수리 및 부품 구입,1354300,엘지전자 주식회사
2026-07-13,인천완정초등학교,1인수의,용역,2026학년도 1학기 급식실 후드 및 기타청소비,1350000,더클린스쿨
2026-06-30,인천영종초등학교,1인수의,용역,2026학년도 유치원 교실 및 교구 살균 소독 청소 실시,1350000,새롬시스템
2026-04-17,인천주원초등학교,1인수의,용역,교사동 및 강당동 각실 선풍기 청소용역 실시,1339800,주식회사 크린웰
